"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-01-31","8.05","0.03","33","24"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-01","6.93","0.01","38","29"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-02","11.18","0.00","30","15"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-03","8.72","0.00","23","13"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-04","9.40","0.00","29","13"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-05","9.17","0.00","37","26"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-06","4.92","0.00","40","20"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-07","9.62","0.76","55","32"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-08","9.62","0.00","41","24"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-09","12.08","0.00","24","16"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-10","11.63","0.00","33","16"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-11","5.14","0.06","46","33"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-12","11.86","0.18","43","33"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-13","8.72","0.00","43","30"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-14","12.08","0.00","50","32"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-15","12.53","0.00","35","25"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-16","7.83","0.00","33","24"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-17","6.26","0.00","45","28"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-18","9.40","0.00","68","32"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-19","6.49","0.00","65","39"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-20","7.16","0.00","50","33"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-21","3.80","0.00","57","35"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-22","7.16","0.00","62","42"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-23","10.74","0.00","67","40"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-24","8.05","0.41","68","38"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-25","15.21","0.00","56","25"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-26","13.42","0.00","41","23"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-27","9.84","0.00","51","34"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-02-28","9.84","0.14","55","35"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-01","16.78","0.74","57","26"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-02","10.74","0.00","33","24"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-03","9.62","0.00","27","20"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-04","6.04","0.00","30","16"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-05","11.18","0.00","39","23"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-06","11.18","0.04","55","37"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-07","14.32","0.11","59","40"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-08","22.15","0.00","54","38"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-09","7.38","0.00","43","33"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-10","13.65","0.00","37","16"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-11","10.29","0.00","29","14"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-12","8.05","0.00","32","17"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-13","11.63","0.06","25","19"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-14","14.32","0.00","24","16"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-15","13.42","0.00","31","15"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-16","6.49","0.00","40","20"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-17","7.16","0.08","38","23"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-18","6.04","0.06","41","32"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-19","6.71","0.00","45","32"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-20","5.37","0.05","44","33"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-21","9.84","0.00","57","28"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-22","9.40","0.00","36","21"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-23","7.61","0.06","42","20"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-24","13.42","0.04","75","36"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-25","10.51","0.06","45","39"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-26","6.49","0.16","48","38"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-27","7.38","0.00","62","48"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-28","9.84","0.00","52","37"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-29","8.05","0.00","56","32"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-30","13.87","1.74","41","36"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-03-31","10.51","0.00","41","37"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-01","7.16","0.00","57","37"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-02","6.93","0.00","61","35"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-03","8.05","0.15","54","43"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-04","12.53","0.08","56","46"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-05","11.41","0.36","50","39"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-06","16.33","0.19","43","34"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-07","12.30","0.00","51","35"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-08","7.16","0.00","60","34"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-09","13.42","0.00","74","45"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-10","14.09","0.20","76","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-11","10.51","0.48","69","46"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-12","6.71","0.00","60","43"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-13","9.17","0.00","49","43"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-14","9.40","0.00","61","42"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-15","11.86","0.04","82","48"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-16","13.65","0.00","74","58"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-17","6.93","0.00","69","40"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-18","10.07","0.00","63","36"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-19","8.72","0.48","76","48"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-20","6.49","0.71","58","46"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-21","10.96","0.00","54","44"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-22","7.16","0.00","59","39"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-23","3.80","0.00","66","35"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-24","10.74","0.00","69","39"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-25","8.95","0.00","68","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-26","9.40","0.00","78","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-27","14.54","0.23","72","51"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-28","10.29","0.00","62","47"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-29","10.51","0.01","58","42"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-04-30","9.40","0.48","54","42"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-01","12.08","0.11","66","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-02","16.78","0.01","51","43"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-03","6.49","0.00","58","40"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-04","9.17","0.89","49","44"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-05","15.21","0.77","46","42"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-06","10.29","0.00","58","43"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-07","8.95","0.00","56","39"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-08","6.93","0.00","57","35"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-09","4.92","0.00","59","33"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-10","7.61","0.00","62","41"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-11","9.17","0.14","63","46"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-12","6.49","0.00","66","42"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-13","4.47","0.08","70","44"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-14","7.16","0.00","67","45"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-15","4.25","0.00","69","40"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-16","8.50","0.27","84","51"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-17","14.99","0.00","86","69"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-18","17.00","0.00","87","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-19","11.18","0.00","62","46"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-20","12.08","0.15","63","48"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-21","8.50","0.60","76","54"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-22","11.18","0.00","71","52"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-23","6.49","0.00","73","58"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-24","9.40","0.24","64","55"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-25","6.26","0.82","61","56"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-26","5.59","0.00","69","55"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-27","4.70","0.00","74","54"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-28","6.71","0.17","77","56"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-29","9.84","0.10","79","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-30","10.07","0.00","74","56"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-05-31","10.51","0.01","74","55"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-01","6.49","0.00","75","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-02","5.37","0.00","81","51"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-03","4.92","0.00","77","52"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-04","7.61","0.04","87","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-05","10.29","0.00","70","56"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-06","10.74","0.01","68","54"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-07","8.50","0.00","74","52"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-08","4.25","0.00","74","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-09","5.59","0.01","77","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-10","10.96","0.00","88","58"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-11","13.20","0.00","90","71"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-12","10.96","0.00","92","72"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-13","6.49","0.00","90","69"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-14","9.62","0.00","84","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-15","6.26","1.14","82","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-16","5.82","0.00","88","65"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-17","10.51","0.02","88","69"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-18","13.20","0.01","85","69"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-19","7.83","0.03","79","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-20","10.29","0.00","77","58"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-21","4.70","0.00","76","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-22","10.29",,"87","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-23","9.17",,"80","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-24","9.40","0.00","78","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-25","8.50","0.00","72","58"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-26","10.29","0.01","72","55"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-27","7.61","0.00","73","52"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-28","9.40","0.00","77","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-29","13.87","0.00","87","69"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-06-30","8.72","0.32","86","68"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-01","8.95","0.00","84","68"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-02","8.50","0.00","85","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-03","5.59","0.00","80","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-04","6.04","0.00","80","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-05","3.80","0.00","84","61"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-06","4.70","0.00","87","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-07","7.61","0.88","86","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-08","7.16","0.00","78","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-09","8.72","0.00","82","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-10","5.82","0.64","77","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-11","3.80","0.59","83","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-12","6.93","0.19","83","71"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-13","8.50","0.19","83","73"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-14","8.05","0.00","82","68"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-15","5.37","0.00","81","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-16","8.50","0.00","82","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-17","4.70","0.00","79","61"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-18","3.80","0.00","85","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-19","5.37","0.00","92","71"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-20","6.93","0.00","88","72"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-21","4.70","0.00","86","72"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-22","6.71","0.02","86","74"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-23","5.59","0.00","83","71"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-24","9.62","0.00","74","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-25","6.71","0.00","77","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-26","6.49","0.00","82","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-27","6.26","0.00","84","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-28","10.96","0.00","78","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-29","10.07","0.00","83","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-30","4.03","0.00","86","61"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-07-31","3.80","0.00","88","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-01","6.71","0.00","88","68"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-02","6.04","1.14","87","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-03","5.37","0.12","85","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-04","12.97","0.00","77","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-05","8.50","0.00","77","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-06","4.25","0.00","78","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-07","4.92","0.00","79","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-08","4.47","0.00","83","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-09","5.82","0.00","84","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-10","5.14","0.00","83","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-11","8.05","0.17","83","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-12","6.71","0.01","78","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-13","3.80","0.00","80","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-14","5.59","0.00","82","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2017-08-15","4.25","0.07","82","65"
